type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
SHOW,1945,51,1,1,6.510860655737705,23439.382473841553,0.6,6.829174760787145
MOVIE,1976,114,2,1,8.2,808582.0,40.965,8.179
MOVIE,1972,109,4,1,7.7,107673.0,10.01,7.3
MOVIE,1975,91,3,1,8.2,534486.0,15.461,7.811
MOVIE,1967,150,2,2,7.7,72662.0,20.398,7.6
SHOW,1969,30,2,1,8.8,73424.0,17.617,8.306
MOVIE,1979,94,1,1,8.0,395024.0,17.77,7.8
MOVIE,1971,102,3,1,7.7,155051.0,12.817,7.5
MOVIE,1967,110,3,1,7.7,112048.0,15.687,7.5
MOVIE,1980,104,3,1,5.8,69844.0,50.324,6.156
MOVIE,1961,158,3,2,7.5,50748.0,13.844,7.3
MOVIE,1966,117,3,1,7.3,16446.0,13.123,7.1
MOVIE,1979,78,2,1,8.1,5141.0,4.718,7.5
MOVIE,1954,115,2,1,7.5,42488.0,8.915,7.2
MOVIE,1958,77,3,1,7.5,4471.0,5.546,7.3
MOVIE,1977,150,3,1,7.5,2460.0,4.305,7.3
MOVIE,1972,97,4,1,6.2,418.0,1.268,6.1
MOVIE,1979,133,1,1,7.2,1727.0,1.37,6.0
MOVIE,1969,129,1,1,8.1,1958.0,1.265,8.5
MOVIE,1980,161,5,1,2.1,25.0,3.98,4.9
MOVIE,1963,186,5,1,7.6,2508.0,4.156,7.1
MOVIE,1979,146,5,2,6.2,565.0,2.582,6.8
MOVIE,1954,100,3,1,7.4,1219.0,2.184,7.0
MOVIE,1956,120,4,1,6.7,610.0,0.849,5.9
MOVIE,1979,74,1,3,6.1,47.0,0.6,5.2
MOVIE,1960,158,3,1,6.4,84.0,0.792,6.3
SHOW,1972,43,1,1,8.1,2151.0,1.487,7.0
MOVIE,1975,110,1,1,6.4,108.0,1.025,7.2
MOVIE,1976,124,3,2,7.2,780.0,1.858,5.3
MOVIE,1973,131,2,1,5.1,41.0,1.948,3.8
MOVIE,1974,162,3,1,6.5,237.0,1.532,5.3
MOVIE,1959,142,3,1,6.6,78.0,0.84,6.0
MOVIE,1980,93,1,3,7.8,78.0,0.6,5.0
MOVIE,1976,135,1,1,4.6,14.0,0.62,6.0
MOVIE,1978,141,3,1,4.4,35.0,1.166,6.0
SHOW,1989,24,1,1,8.9,308824.0,130.213,8.301
MOVIE,1990,145,2,1,8.7,1131681.0,50.387,8.463
MOVIE,1987,117,2,2,8.3,729274.0,32.937,8.1
MOVIE,1984,139,3,2,8.3,345714.0,28.937,8.453
MOVIE,1989,96,3,1,7.7,216199.0,15.123,7.4
MOVIE,1984,91,1,2,7.4,234068.0,48.358,7.3
MOVIE,1989,119,3,1,7.3,54946.0,11.69,7.2
MOVIE,1984,97,2,1,6.7,124881.0,25.533,6.6
MOVIE,1983,110,3,1,6.7,81922.0,23.418,6.8
SHOW,1982,51,4,1,6.9,34115.0,50.267,7.5
SHOW,1984,10,7,1,6.5,5104.0,42.196,6.5
SHOW,1989,23,3,1,7.1,35034.0,19.855,8.0
MOVIE,1990,120,2,1,7.8,139240.0,12.23,7.8
SHOW,1983,26,1,1,6.7,3145.0,5.935,6.8
MOVIE,1989,97,2,1,7.5,185760.0,18.862,7.2
MOVIE,1989,105,1,1,7.4,20680.0,19.449,7.3
MOVIE,1987,90,2,1,7.6,19757.0,7.992,7.3
MOVIE,1986,84,2,1,6.7,14472.0,7.416,6.707
SHOW,1989,24,2,1,6.5,2922.0,9.849,6.5
MOVIE,1981,116,2,1,4.9,8524.0,19.116,5.7
SHOW,1981,14,5,1,7.4,3545.0,8.55,7.5
MOVIE,1983,123,2,1,6.7,388.0,3.79,6.829174760787145
MOVIE,1988,119,5,1,7.3,1693.0,8.092,6.7
MOVIE,1981,133,5,1,7.2,1274.0,13.125,7.2
SHOW,1987,10,5,1,6.1,1785.0,37.647,7.2
